;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Instances;Gap deviation
11berlin52_T40_p1;37;37;37;1,86;0,00%;;37;37;0,28;0,00%;;37;37;1,24;0,00%;;217vm1084_T40_p1;0,063501199
11eil51_T40_p1;24;24;24;1,98;0,00%;;24;24;0,26;0,00%;;24;24;1,26;0,00%;;20kroA100_RND_T40_p2;0,055672874
14st70_T40_p1;33;33;33;4,46;0,00%;;33;33;0,36;0,00%;;33;33;1,4;0,00%;;131p654_T60_p1;0,047234733
16eil76_T40_p1;40;40;40;3,48;0,00%;;40;40;0,49;0,00%;;40;40;1,56;0,00%;;20kroB100_T40_p2;0,044406306
16pr76_T40_p1;47;47;47;6,06;0,00%;;47;47;0,55;0,00%;;47;47;1,62;0,00%;;21eil101_RND_T40_p1;0,039739401
20kroA100_T40_p1;42;42;42;6,29;0,00%;;42;41,6;0,81;0,00%;;42;42;1,74;0,00%;;217vm1084_T40_p2;0,039359059
20kroB100_T40_p1;49;49;49;5,42;0,00%;;49;49;0,68;0,00%;;49;49;1,7;0,00%;;11eil51_RND_T40_p1;0,038230907
20kroC100_T40_p1;42;42;42;5,8;0,00%;;42;42;0,68;0,00%;;42;42;1,59;0,00%;;20kroA100_RND_T40_p1;0,035355339
20kroD100_T40_p1;39;39;39;6,42;0,00%;;39;39;0,63;0,00%;;39;39;1,61;0,00%;;212u1060_RND_T40_p1;0,027442222
20kroE100_T40_p1;52;52;52;7,77;0,00%;;52;52;0,69;0,00%;;52;52;1,52;0,00%;;201pr1002_T40_p2;0,027399797
20rat99_T40_p1;37;37;37;4,7;0,00%;;37;37;0,57;0,00%;;37;37;1,42;0,00%;;217vm1084_T60_p2;0,027304009
20rd100_T40_p1;45;45;45;6,82;0,00%;;45;45;0,68;0,00%;;45;45;1,7;0,00%;;40d198_T40_p2;0,025550125
21eil101_T40_p1;67;67;67;6,41;0,00%;;67;67;0,95;0,00%;;67;67;1,93;0,00%;;212u1060_T40_p2;0,025434142
21lin105_T40_p1;50;50;50;7,62;0,00%;;50;50;0,71;0,00%;;50;50;1,56;0,00%;;60pr299_T60_p1;0,025220142
22pr107_T40_p1;41;41;41;8,73;0,00%;;41;41;0,61;0,00%;;41;41;1,76;0,00%;;217vm1084_T60_p1;0,024124999
25pr124_T40_p1;46;46;46;9;0,00%;;46;46;1;0,00%;;46;46;1,95;0,00%;;212u1060_T60_p2;0,024082682
26bier127_T40_p1;110;110;110;8,53;0,00%;;110;110;1,93;0,00%;;110;110;2,95;0,00%;;30kroA150_RND_T40_p1;0,023837925
26ch130_T40_p1;70;70;69,8;9,76;0,00%;;70;70;1,22;0,00%;;70;70;2,36;0,00%;;212u1060_T40_p1;0,021947564
28pr136_T40_p1;53;53;53;7,61;0,00%;;53;53;1,34;0,00%;;53;53;1,96;0,00%;;132d657_T40_p2;0,021907432
29pr144_T40_p1;60;60;60;9,47;0,00%;;60;60;1,2;0,00%;;60;60;2,1;0,00%;;157rat783_T60_p2;0,021519655
30ch150_T40_p1;61;61;59,8;2,35;0,00%;;61;61;1,6;0,00%;;61;61;2,05;0,00%;;201pr1002_T60_p2;0,020845623
30kroA150_T40_p1;58;58;58;9,02;0,00%;;58;58;1,67;0,00%;;58;58;2,23;0,00%;;157rat783_RND_T40_p2;0,020480723
30kroB150_T40_p1;66;66;66;7,88;0,00%;;66;65,9;1,58;0,00%;;66;66;2,43;0,00%;;40d198_T40_p1;0,020223254
31pr152_T40_p1;57;57;57;8,95;0,00%;;57;57;1,11;0,00%;;57;57;1,97;0,00%;;145u724_T60_p2;0,019156432
32u159_T40_p1;76;76;76;11,93;0,00%;;76;76;2,07;0,00%;;76;76;2,37;0,00%;;217vm1084_T80_p2;0,01903021
39rat195_T40_p1;71;71;71;13,53;0,00%;;71;71;2,32;0,00%;;71;71;2,45;0,00%;;115rat575_RND_T40_p1;0,018661249
40d198_T40_p1;70;67;67;9,99;4,29%;;70;70;1,88;0,00%;;67;67;1,94;4,29%;;115u574_T60_p2;0,018420279
40kroa200_T40_p1;92;92;92;14,36;0,00%;;92;92;2,93;0,00%;;92;92;3,12;0,00%;;212u1060_T80_p2;0,018404408
40krob200_T40_p1;87;87;87;10,79;0,00%;;87;87;3;0,00%;;87;87;3,09;0,00%;;212u1060_T60_p1;0,018358347
45ts225_T40_p1;101;101;101;11,76;0,00%;;101;101;4,2;0,00%;;101;101;3,15;0,00%;;157rat783_T80_p2;0,01833703
45tsp225_T40_p1;80;80;80;12,86;0,00%;;80;80;3,25;0,00%;;80;80;2,71;0,00%;;201pr1002_T60_p1;0,018086152
46pr226_T40_p1;86;86;85,4;15,04;0,00%;;86;86;2,82;0,00%;;86;86;2,87;0,00%;;212u1060_T80_p1;0,017907168
53gil262_T40_p1;105;105;104,8;19,42;0,00%;;105;104,2;5,54;0,00%;;105;104,7;5,06;0,00%;;115rat575_RND_T60_p1;0,0166664
53pr264_T40_p1;128;128;128;36,52;0,00%;;128;128;5,21;0,00%;;127;127;3,56;0,78%;;145u724_T60_p1;0,016295671
56a280_T40_p1;107;107;107;19,05;0,00%;;106;105,1;5,59;0,93%;;107;107;3,64;0,00%;;20rd100_RND_T40_p2;0,016122035
60pr299_T40_p1;131;131;131;29,18;0,00%;;131;130,6;6,72;0,00%;;131;131;4,02;0,00%;;145u724_T40_p2;0,015264556
64lin318_T40_p1;169;169;169;28,91;0,00%;;169;168,8;9,28;0,00%;;169;169;7,49;0,00%;;212u1060_RND_T40_p2;0,015157177
80rd400_T40_p1;209;208;206,5;65,05;0,48%;;209;208,2;16,41;0,00%;;208;207,6;11,41;0,48%;;132d657_RND_T40_p2;0,014798874
84fl417_T40_p1;201;201;175,5;48,04;0,00%;;201;201;14,48;0,00%;;201;200,6;11,1;0,00%;;157rat783_RND_T40_p1;0,014383633
88pr439_T40_p1;335;334;333,9;72,11;0,30%;;333;332,4;33,97;0,60%;;334;329;20,61;0,30%;;157rat783_RND_T60_p1;0,014269859
89pcb442_T40_p1;224;223;222,2;65,88;0,45%;;223;220,9;24,85;0,45%;;224;221,9;14,24;0,00%;;201pr1002_T80_p1;0,014167647
99d493_T40_p1;278;278;277,7;92,11;0,00%;;278;275,9;25,43;0,00%;;278;278;16,12;0,00%;;212u1060_RND_T60_p1;0,014094286
115rat575_T40_p1;264;262;259,5;191,49;0,76%;;264;258,9;36,52;0,00%;;264;260,9;20,56;0,00%;;201pr1002_T80_p2;0,014048092
115u574_T40_p1;275;275;270,2;122,31;0,00%;;270;265,1;39,34;1,82%;;274;269,7;22,66;0,36%;;201pr1002_T40_p1;0,014047855
131p654_T40_p1;315;315;315;193,36;0,00%;;315;315;39,78;0,00%;;315;313;25,53;0,00%;;132d657_T80_p1;0,013482169
132d657_T40_p1;308;304;303;246,39;1,30%;;300;295;46,75;2,60%;;305;299,3;27,65;0,97%;;89pcb442_RND_T40_p1;0,013265075
145u724_T40_p1;326;324;321,8;173,22;0,61%;;315;303,1;64,94;3,37%;;323;317;35,69;0,92%;;145u724_T80_p2;0,013241433
157rat783_T40_p1;349;348;344,9;225,44;0,29%;;346;331,2;80,92;0,86%;;349;342,8;42,93;0,00%;;132d657_T60_p1;0,013051266
201pr1002_T40_p1;536;535;532,6;652,11;0,19%;;519;491,4;149,37;3,17%;;535;507,2;88,97;0,19%;;30ch150_RND_T40_p1;0,012397939
212u1060_T40_p1;563;559;532,8;723,77;0,71%;;535;521,2;187,21;4,97%;;563;538;108,07;0,00%;;157rat783_T80_p1;0,012349359
217vm1084_T40_p1;672;666;656,9;463,8;0,89%;;574;551,9;227,34;14,58%;;663;655,6;97,41;1,34%;;145u724_T40_p1;0,012345129
11berlin52_T40_p2;1829;1829;1829;1,87;0,00%;;1829;1829;0,29;0,00%;;1829;1829;1,23;0,00%;;201pr1002_RND_T60_p1;0,012338107
11eil51_T40_p2;1279;1279;1279;2,09;0,00%;;1279;1279;0,26;0,00%;;1279;1279;1,34;0,00%;;31pr152_T80_p1;0,011973675
14st70_T40_p2;1672;1672;1672;4,39;0,00%;;1672;1672;0,4;0,00%;;1672;1672;1,48;0,00%;;145u724_T80_p1;0,011970055
16eil76_T40_p2;2223;2223;2223;4,92;0,00%;;2223;2223;0,51;0,00%;;2223;2223;1,38;0,00%;;217vm1084_T80_p1;0,011690832
16pr76_T40_p2;2449;2449;2449;5,96;0,00%;;2449;2449;0,56;0,00%;;2449;2449;1,58;0,00%;;20rd100_RND_T40_p1;0,01150227
20kroA100_T40_p2;2151;2151;2151;6,42;0,00%;;2151;2151;0,66;0,00%;;2151;2151;1,68;0,00%;;132d657_RND_T60_p1;0,01141354
20kroB100_T40_p2;2431;2202;2202;2,14;9,42%;;2431;2431;0,66;0,00%;;2431;2431;1,68;0,00%;;145u724_RND_T40_p1;0,011229821
20kroC100_T40_p2;2174;2174;2174;5,57;0,00%;;2174;2174;0,67;0,00%;;2174;2174;1,57;0,00%;;45ts225_T80_p1;0,011186996
20kroD100_T40_p2;1740;1740;1740;6,07;0,00%;;1740;1740;0,63;0,00%;;1740;1740;1,58;0,00%;;132d657_RND_T40_p1;0,011167313
20kroE100_T40_p2;2415;2415;2415;7,62;0,00%;;2415;2415;0,69;0,00%;;2415;2415;1,42;0,00%;;28pr136_RND_T60_p1;0,010700883
