;;MASOP;;;;;VNS-SOP;;;;;BRKGA;;;
Instance;Best;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%;;Sol;Sol.Avg;Time;Gap%
11berlin52_T40_p1;37;37;37,0;1,86;0,00%;;37;37,0;0,28;0,00%;;37;37,0;1,24;0,00%
11eil51_T40_p1;24;24;24,0;1,98;0,00%;;24;24,0;0,26;0,00%;;24;24,0;1,26;0,00%
14st70_T40_p1;33;33;33,0;4,46;0,00%;;33;33,0;0,36;0,00%;;33;33,0;1,40;0,00%
16eil76_T40_p1;40;40;40,0;3,48;0,00%;;40;40,0;0,49;0,00%;;40;40,0;1,56;0,00%
16pr76_T40_p1;47;47;47,0;6,06;0,00%;;47;47,0;0,55;0,00%;;47;47,0;1,62;0,00%
20kroA100_T40_p1;42;42;42,0;6,29;0,00%;;42;41,6;0,81;0,00%;;42;42,0;1,74;0,00%
20kroB100_T40_p1;49;49;49,0;5,42;0,00%;;49;49,0;0,68;0,00%;;49;49,0;1,70;0,00%
20kroC100_T40_p1;42;42;42,0;5,80;0,00%;;42;42,0;0,68;0,00%;;42;42,0;1,59;0,00%
20kroD100_T40_p1;39;39;39,0;6,42;0,00%;;39;39,0;0,63;0,00%;;39;39,0;1,61;0,00%
20kroE100_T40_p1;52;52;52,0;7,77;0,00%;;52;52,0;0,69;0,00%;;52;52,0;1,52;0,00%
20rat99_T40_p1;37;37;37,0;4,70;0,00%;;37;37,0;0,57;0,00%;;37;37,0;1,42;0,00%
20rd100_T40_p1;45;45;45,0;6,82;0,00%;;45;45,0;0,68;0,00%;;45;45,0;1,70;0,00%
21eil101_T40_p1;67;67;67,0;6,41;0,00%;;67;67,0;0,95;0,00%;;67;67,0;1,93;0,00%
21lin105_T40_p1;50;50;50,0;7,62;0,00%;;50;50,0;0,71;0,00%;;50;50,0;1,56;0,00%
22pr107_T40_p1;41;41;41,0;8,73;0,00%;;41;41,0;0,61;0,00%;;41;41,0;1,76;0,00%
25pr124_T40_p1;46;46;46,0;9,00;0,00%;;46;46,0;1,00;0,00%;;46;46,0;1,95;0,00%
26bier127_T40_p1;110;110;110,0;8,53;0,00%;;110;110,0;1,93;0,00%;;110;110,0;2,95;0,00%
26ch130_T40_p1;70;70;69,8;9,76;0,00%;;70;70,0;1,22;0,00%;;70;70,0;2,36;0,00%
28pr136_T40_p1;53;53;53,0;7,61;0,00%;;53;53,0;1,34;0,00%;;53;53,0;1,96;0,00%
29pr144_T40_p1;60;60;60,0;9,47;0,00%;;60;60,0;1,20;0,00%;;60;60,0;2,10;0,00%
30ch150_T40_p1;61;61;59,8;2,35;0,00%;;61;61,0;1,60;0,00%;;61;61,0;2,05;0,00%
30kroA150_T40_p1;58;58;58,0;9,02;0,00%;;58;58,0;1,67;0,00%;;58;58,0;2,23;0,00%
30kroB150_T40_p1;66;66;66,0;7,88;0,00%;;66;65,9;1,58;0,00%;;66;66,0;2,43;0,00%
31pr152_T40_p1;57;57;57,0;8,95;0,00%;;57;57,0;1,11;0,00%;;57;57,0;1,97;0,00%
32u159_T40_p1;76;76;76,0;11,93;0,00%;;76;76,0;2,07;0,00%;;76;76,0;2,37;0,00%
39rat195_T40_p1;71;71;71,0;13,53;0,00%;;71;71,0;2,32;0,00%;;71;71,0;2,45;0,00%
40d198_T40_p1;70;67;67,0;9,99;4,29%;;70;70,0;1,88;0,00%;;67;67,0;1,94;4,29%
40kroa200_T40_p1;92;92;92,0;14,36;0,00%;;92;92,0;2,93;0,00%;;92;92,0;3,12;0,00%
40krob200_T40_p1;87;87;87,0;10,79;0,00%;;87;87,0;3,00;0,00%;;87;87,0;3,09;0,00%
45ts225_T40_p1;101;101;101,0;11,76;0,00%;;101;101,0;4,20;0,00%;;101;101,0;3,15;0,00%
45tsp225_T40_p1;80;80;80,0;12,86;0,00%;;80;80,0;3,25;0,00%;;80;80,0;2,71;0,00%
46pr226_T40_p1;86;86;85,4;15,04;0,00%;;86;86,0;2,82;0,00%;;86;86,0;2,87;0,00%
53gil262_T40_p1;105;105;104,8;19,42;0,00%;;105;104,2;5,54;0,00%;;105;104,7;5,06;0,00%
53pr264_T40_p1;128;128;128,0;36,52;0,00%;;128;128,0;5,21;0,00%;;127;127,0;3,56;0,78%
56a280_T40_p1;107;107;107,0;19,05;0,00%;;106;105,1;5,59;0,93%;;107;107,0;3,64;0,00%
60pr299_T40_p1;131;131;131,0;29,18;0,00%;;131;130,6;6,72;0,00%;;131;131,0;4,02;0,00%
64lin318_T40_p1;169;169;169,0;28,91;0,00%;;169;168,8;9,28;0,00%;;169;169,0;7,49;0,00%
80rd400_T40_p1;209;208;206,5;65,05;0,48%;;209;208,2;16,41;0,00%;;208;207,6;11,41;0,48%
84fl417_T40_p1;201;201;175,5;48,04;0,00%;;201;201,0;14,48;0,00%;;201;200,6;11,10;0,00%
88pr439_T40_p1;335;334;333,9;72,11;0,30%;;333;332,4;33,97;0,60%;;334;329,0;20,61;0,30%
89pcb442_T40_p1;224;223;222,2;65,88;0,45%;;223;220,9;24,85;0,45%;;224;221,9;14,24;0,00%
99d493_T40_p1;278;278;277,7;92,11;0,00%;;278;275,9;25,43;0,00%;;278;278,0;16,12;0,00%
115rat575_T40_p1;264;262;259,5;191,49;0,76%;;264;258,9;36,52;0,00%;;264;260,9;20,56;0,00%
115u574_T40_p1;275;275;270,2;122,31;0,00%;;270;265,1;39,34;1,82%;;274;269,7;22,66;0,36%
131p654_T40_p1;315;315;315,0;193,36;0,00%;;315;315,0;39,78;0,00%;;315;313,0;25,53;0,00%
132d657_T40_p1;308;304;303,0;246,39;1,30%;;300;295,0;46,75;2,60%;;305;299,3;27,65;0,97%
145u724_T40_p1;326;324;321,8;173,22;0,61%;;315;303,1;64,94;3,37%;;323;317,0;35,69;0,92%
157rat783_T40_p1;349;348;344,9;225,44;0,29%;;346;331,2;80,92;0,86%;;349;342,8;42,93;0,00%
201pr1002_T40_p1;536;535;532,6;652,11;0,19%;;519;491,4;149,37;3,17%;;535;507,2;88,97;0,19%
212u1060_T40_p1;563;559;532,8;723,77;0,71%;;535;521,2;187,21;4,97%;;563;538,0;108,07;0,00%
217vm1084_T40_p1;672;666;656,9;463,80;0,89%;;574;551,9;227,34;14,58%;;663;655,6;97,41;1,34%
11berlin52_T40_p2;1829;1829;1829,0;1,87;0,00%;;1829;1829,0;0,29;0,00%;;1829;1829,0;1,23;0,00%
11eil51_T40_p2;1279;1279;1279,0;2,09;0,00%;;1279;1279,0;0,26;0,00%;;1279;1279,0;1,34;0,00%
14st70_T40_p2;1672;1672;1672,0;4,39;0,00%;;1672;1672,0;0,40;0,00%;;1672;1672,0;1,48;0,00%
16eil76_T40_p2;2223;2223;2223,0;4,92;0,00%;;2223;2223,0;0,51;0,00%;;2223;2223,0;1,38;0,00%
16pr76_T40_p2;2449;2449;2449,0;5,96;0,00%;;2449;2449,0;0,56;0,00%;;2449;2449,0;1,58;0,00%
20kroA100_T40_p2;2151;2151;2151,0;6,42;0,00%;;2151;2151,0;0,66;0,00%;;2151;2151,0;1,68;0,00%
20kroB100_T40_p2;2431;2202;2202,0;2,14;9,42%;;2431;2431,0;0,66;0,00%;;2431;2431,0;1,68;0,00%
20kroC100_T40_p2;2174;2174;2174,0;5,57;0,00%;;2174;2174,0;0,67;0,00%;;2174;2174,0;1,57;0,00%
20kroD100_T40_p2;1740;1740;1740,0;6,07;0,00%;;1740;1740,0;0,63;0,00%;;1740;1740,0;1,58;0,00%
20kroE100_T40_p2;2415;2415;2415,0;7,62;0,00%;;2415;2415,0;0,69;0,00%;;2415;2415,0;1,42;0,00%
20rat99_T40_p2;1905;1905;1905,0;4,76;0,00%;;1905;1905,0;0,56;0,00%;;1905;1905,0;1,47;0,00%
20rd100_T40_p2;2228;2228;2228,0;6,54;0,00%;;2228;2228,0;0,69;0,00%;;2228;2228,0;1,63;0,00%
21eil101_T40_p2;3365;3365;3365,0;7,10;0,00%;;3365;3365,0;0,99;0,00%;;3365;3365,0;1,87;0,00%
21lin105_T40_p2;2489;2489;2489,0;7,94;0,00%;;2489;2489,0;0,72;0,00%;;2489;2489,0;1,49;0,00%
22pr107_T40_p2;2123;2123;2123,0;8,42;0,00%;;2123;2123,0;0,63;0,00%;;2123;2123,0;1,65;0,00%
25pr124_T40_p2;2302;2302;2302,0;7,29;0,00%;;2302;2302,0;1,08;0,00%;;2302;2302,0;1,88;0,00%
26bier127_T40_p2;5420;5420;5420,0;10,35;0,00%;;5420;5420,0;1,94;0,00%;;5420;5420,0;3,15;0,00%
26ch130_T40_p2;3423;3423;3412,2;6,84;0,00%;;3423;3423,0;1,36;0,00%;;3423;3419,4;2,41;0,00%
28pr136_T40_p2;2699;2699;2699,0;7,80;0,00%;;2699;2691,6;1,38;0,00%;;2699;2699,0;1,91;0,00%
29pr144_T40_p2;3055;3055;3055,0;10,13;0,00%;;3055;3055,0;1,22;0,00%;;3055;3055,0;2,08;0,00%
30ch150_T40_p2;3131;3078;3076,1;9,89;1,69%;;3131;3131,0;1,54;0,00%;;3078;3078,0;2,11;1,69%
30kroA150_T40_p2;3039;3039;3039,0;10,01;0,00%;;3039;3039,0;1,61;0,00%;;3039;3039,0;2,27;0,00%
30kroB150_T40_p2;3172;3172;3172,0;9,02;0,00%;;3172;3172,0;1,67;0,00%;;3172;3172,0;2,38;0,00%
31pr152_T40_p2;2915;2915;2915,0;9,15;0,00%;;2915;2915,0;1,12;0,00%;;2915;2915,0;1,94;0,00%
32u159_T40_p2;4002;4002;4002,0;10,41;0,00%;;4002;4000,8;1,95;0,00%;;4002;4002,0;2,28;0,00%
39rat195_T40_p2;3656;3656;3656,0;14,73;0,00%;;3656;3656,0;2,33;0,00%;;3656;3656,0;2,42;0,00%
40d198_T40_p2;3595;3400;3400,0;10,30;5,42%;;3595;3595,0;1,96;0,00%;;3400;3400,0;1,90;5,42%
40kroa200_T40_p2;4550;4550;4550,0;15,76;0,00%;;4550;4550,0;3,05;0,00%;;4550;4550,0;3,11;0,00%
40krob200_T40_p2;4348;4348;4348,0;12,58;0,00%;;4348;4348,0;3,07;0,00%;;4348;4348,0;3,00;0,00%
45ts225_T40_p2;5037;5037;5037,0;18,16;0,00%;;5037;4945,0;4,63;0,00%;;5037;5037,0;3,49;0,00%
45tsp225_T40_p2;4297;4297;4297,0;16,11;0,00%;;4297;4297,0;3,16;0,00%;;4297;4297,0;2,72;0,00%
46pr226_T40_p2;4403;4403;4394,6;14,74;0,00%;;4403;4403,0;2,68;0,00%;;4403;4403,0;2,85;0,00%
53gil262_T40_p2;5330;5330;5330,0;20,92;0,00%;;5330;5284,9;5,76;0,00%;;5330;5330,0;5,03;0,00%
53pr264_T40_p2;6423;6423;6423,0;38,43;0,00%;;6423;6423,0;5,35;0,00%;;6397;6383,5;3,55;0,40%
56a280_T40_p2;5630;5630;5611,3;23,15;0,00%;;5630;5605,0;6,30;0,00%;;5630;5606,3;4,00;0,00%
60pr299_T40_p2;6600;6600;6600,0;31,91;0,00%;;6600;6600,0;6,91;0,00%;;6600;6600,0;4,26;0,00%
64lin318_T40_p2;8600;8600;8600,0;35,88;0,00%;;8600;8593,1;7,19;0,00%;;8600;8600,0;7,18;0,00%
80rd400_T40_p2;10966;10825;10752,3;59,59;1,29%;;10966;10858,8;16,91;0,00%;;10874;10816,6;12,76;0,84%
84fl417_T40_p2;10163;10133;9375,4;46,73;0,30%;;10163;10119,6;14,93;0,00%;;10133;10123,4;12,43;0,30%
88pr439_T40_p2;17082;17037;17013,5;121,16;0,26%;;17022;16804,6;31,13;0,35%;;17082;16944,6;22,85;0,00%
89pcb442_T40_p2;11627;11565;11546,3;79,99;0,53%;;11627;11502,1;22,27;0,00%;;11627;11587,6;14,91;0,00%
99d493_T40_p2;14131;14131;14083,3;83,23;0,00%;;13992;13992,0;25,16;0,98%;;14131;14131,0;15,21;0,00%
115rat575_T40_p2;13367;13300;13203,0;296,66;0,50%;;13203;12950,8;41,04;1,23%;;13367;13293,0;21,88;0,00%
115u574_T40_p2;14046;13969;13739,6;124,07;0,55%;;13782;13407,2;37,37;1,88%;;14046;13823,3;23,32;0,00%
131p654_T40_p2;16003;16003;16003,0;260,42;0,00%;;15983;15958,9;35,53;0,12%;;16003;15902,5;25,67;0,00%
132d657_T40_p2;15903;15855;15790,2;311,43;0,30%;;15141;14633,2;46,81;4,79%;;15903;15738,4;27,51;0,00%
145u724_T40_p2;17230;17230;17127,2;216,07;0,00%;;16616;15998,6;69,03;3,56%;;17094;16974,3;36,05;0,79%
157rat783_T40_p2;18216;18018;17720,8;315,26;1,09%;;17889;17088,8;73,92;1,80%;;18216;17838,8;44,28;0,00%
201pr1002_T40_p2;27275;26239;26086,2;766,51;3,80%;;25357;24632,4;149,33;7,03%;;27189;26369,8;89,40;0,32%
212u1060_T40_p2;28221;27348;26638,9;771,67;3,09%;;26463;25952,5;181,95;6,23%;;28221;27458,3;110,62;0,00%
217vm1084_T40_p2;34398;34291;33818,5;710,76;0,31%;;31473;27875,1;217,37;8,50%;;34398;33799,6;95,07;0,00%
11berlin52_T60_p1;43;43;43,0;2,40;0,00%;;43;43,0;0,37;0,00%;;43;43,0;1,42;0,00%
