dataset_name;a;a;a;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;best;gap_1;gap_2;gap_3;gap_4;gap_5;average_gap;avg_avg_gap;duration_1;duration_2;duration_3;duration_4;duration_5;
115rat575_v2_p1;115rat575_;v2_;p1;528;26,04;526;26;527;24;525;20;526;22,89;528;0;0,003787879;0,001893939;0,005681818;0,003787879;0,003030303;0,001745526;26,044;0;0;0;0;26,044
115u574_v2_p1;115u574_;v2_;p1;557;33,90;558;29;559;26;556;30,856;558;28,63;559;0,003577818;0,001788909;0;0,005366726;0,001788909;0,002504472;;0;0;26,214;0;0;26,214
11berlin52_v2_p1;11berlin52_;v2_;p1;47;28,30;47;32,424;47;33,748;47;26,369;47;28,41;47;0;0;0;0;0;0;;28,297;32,424;33,748;26,369;28,405;29,8486
11eil51_v2_p1;11eil51_;v2_;p1;43;30,15;43;29,249;43;30,292;43;25,333;43;31,49;43;0;0;0;0;0;0;;30,153;29,249;30,292;25,333;31,486;29,3026
131p654_v2_p1;131p654_;v2_;p1;590;19,91;591;31;591;21;591;32;591;19,20;591;0,001692047;0;0;0;0;0,000338409;;0;30,834;21,209;32,233;19,202;25,8695
132d657_v2_p1;132d657_;v2_;p1;602;19,57;599;33;596;29;596;41;598;22,59;602;0;0,004983389;0,009966777;0,009966777;0,006644518;0,006312292;;19,571;0;0;0;0;19,571
145u724_v2_p1;145u724_;v2_;p1;689;16,73;689;20;689;17;692;21;693;19,09;693;0,005772006;0,005772006;0,005772006;0,001443001;0;0,003751804;;0;0;0;0;19,093;19,093
14st70_v2_p1;14st70_;v2_;p1;56;16,79;56;20,374;56;22,373;56;23,058;56;19,83;56;0;0;0;0;0;0;;16,792;20,374;22,373;23,058;19,825;20,4844
157rat783_v2_p1;157rat783_;v2_;p1;734;25,57;732;27;735;27;732;26;736;18,38;736;0,002717391;0,005434783;0,001358696;0,005434783;0;0,00298913;;0;0;0;0;18,379;18,379
16eil76_v2_p1;16eil76_;v2_;p1;64;20,70;64;16,358;64;21,563;64;24,859;64;22,46;64;0;0;0;0;0;0;;20,696;16,358;21,563;24,859;22,457;21,1866
16pr76_v2_p1;16pr76_;v2_;p1;68;12,66;68;12,014;68;13,232;68;13,402;68;13,58;68;0;0;0;0;0;0;;12,66;12,014;13,232;13,402;13,575;12,9766
201pr1002_v2_p1;201pr1002_;v2_;p1;973;14,40;973;16;970;15;975;13;968;14,31;975;0,002051282;0,002051282;0,005128205;0;0,007179487;0,003282051;;0;0;0;12,757;0;12,757
20kroA100_v2_p1;20kroA100_;v2_;p1;83;0,03;83;0,03;83;0,03;83;0,03;83;0,03;83;0;0;0;0;0;0;;0,031;0,03;0,03;0,03;0,03;0,0302
20kroB100_v2_p1;20kroB100_;v2_;p1;80;0,03;80;0,03;80;0,03;80;0,031;80;0,03;80;0;0;0;0;0;0;;0,031;0,03;0,03;0,031;0,031;0,0306
20kroC100_v2_p1;20kroC100_;v2_;p1;75;0,04;75;0,038;75;0,038;75;0,038;75;0,04;75;0;0;0;0;0;0;;0,039;0,038;0,038;0,038;0,038;0,0382
20kroD100_v2_p1;20kroD100_;v2_;p1;75;0,04;75;0,039;75;0,039;75;0,039;75;0,04;75;0;0;0;0;0;0;;0,039;0,039;0,039;0,039;0,038;0,0388
20kroE100_v2_p1;20kroE100_;v2_;p1;66;0,05;66;0,048;66;0,049;66;0,049;66;0,05;66;0;0;0;0;0;0;;0,048;0,048;0,049;0,049;0,047;0,0482
20rat99_v2_p1;20rat99_;v2_;p1;53;0,05;53;0,049;53;0,05;53;0,05;53;0,05;53;0;0;0;0;0;0;;0,05;0,049;0,05;0,05;0,05;0,0498
20rd100_v2_p1;20rd100_;v2_;p1;81;0,03;81;0,032;81;0,032;81;0,032;81;0,03;81;0;0;0;0;0;0;;0,032;0,032;0,032;0,032;0,032;0,032
212u1060_v2_p1;212u1060_;v2_;p1;1054;0,03;1053;0;1052;0;1053;0;1053;0,03;1054;0;0,000948767;0,001897533;0,000948767;0,000948767;0,000948767;;0,033;0;0;0;0;0,033
217vm1084_v2_p1;217vm1084_;v2_;p1;1067;0,04;1068;0;1071;0;1066;0,041;1066;0,04;1071;0,003734827;0,00280112;0;0,004668534;0,004668534;0,003174603;;0;0;0,041;0;0;0,041
21eil101_v2_p1;21eil101_;v2_;p1;93;0,04;93;0,042;93;0,042;93;0,041;93;0,04;93;0;0;0;0;0;0;;0,043;0,042;0,042;0,041;0,04;0,0416
21lin105_v2_p1;21lin105_;v2_;p1;73;0,05;73;0,048;73;0,049;73;0,048;73;0,05;73;0;0;0;0;0;0;;0,049;0,048;0,049;0,048;0,048;0,0484
22pr107_v2_p1;22pr107_;v2_;p1;53;0,05;53;0,05;53;0,049;53;0,05;53;0,05;53;0;0;0;0;0;0;;0,05;0,05;0,049;0,05;0,05;0,0498
25pr124_v2_p1;25pr124_;v2_;p1;97;22,66;97;24,015;97;27,463;97;23,566;97;24,88;97;0;0;0;0;0;0;;22,66;24,015;27,463;23,566;24,882;24,5172
26bier127_v2_p1;26bier127_;v2_;p1;124;34,28;124;33,376;124;28,585;124;31,158;124;34,95;124;0;0;0;0;0;0;;34,277;33,376;28,585;31,158;34,946;32,4684
26ch130_v2_p1;26ch130_;v2_;p1;116;27,44;116;24,045;117;27,239;117;24,392;117;28,25;117;0,008547009;0,008547009;0;0;0;0,003418803;;0;0;27,239;24,392;28,248;26,62633333
28pr136_v2_p1;28pr136_;v2_;p1;103;43,99;103;40,469;103;46,458;103;44,44;103;46,69;103;0;0;0;0;0;0;;43,989;40,469;46,458;44,44;46,688;44,4088
29pr144_v2_p1;29pr144_;v2_;p1;112;26,33;112;28,003;112;26,661;112;30,72;112;27,42;112;0;0;0;0;0;0;;26,329;28,003;26,661;30,72;27,418;27,8262
30ch150_v2_p1;30ch150_;v2_;p1;123;30,52;123;30,551;123;26,062;123;30,858;123;26,75;123;0;0;0;0;0;0;;30,521;30,551;26,062;30,858;26,748;28,948
30kroA150_v2_p1;30kroA150_;v2_;p1;128;40,96;128;34,208;128;32,127;128;39,694;128;29,88;128;0;0;0;0;0;0;;40,963;34,208;32,127;39,694;29,88;35,3744
30kroB150_v2_p1;30kroB150_;v2_;p1;136;43,99;136;51,575;136;53,778;136;35,824;136;50,83;136;0;0;0;0;0;0;;43,991;51,575;53,778;35,824;50,826;47,1988
31pr152_v2_p1;31pr152_;v2_;p1;110;26,67;110;31,279;110;40,838;110;35,693;110;27,10;110;0;0;0;0;0;0;;26,671;31,279;40,838;35,693;27,097;32,3156
32u159_v2_p1;32u159_;v2_;p1;127;36,21;127;35,351;127;43,562;127;43,638;127;36,96;127;0;0;0;0;0;0;;36,214;35,351;43,562;43,638;36,964;39,1458
39rat195_v2_p1;39rat195_;v2_;p1;133;34,71;133;34,46;133;28,513;133;37,559;133;29,01;133;0;0;0;0;0;0;;34,711;34,46;28,513;37,559;29,01;32,8506
