dataset_name;obj_1;duration_1;obj_2;duration_2;obj_3;duration_3;obj_4;duration_4;obj_5;duration_5;;d1;d2;d3; d4;d5
115rat575_v2_p1;528;26.044;526;25.841;527;24.474;525;20.054;526;22.889;;26,04;25,84;24,47;20,05;22,89
115rat575_v2_p2;26448;33.899;26438;28.819;26362;26.214;26517;30.856;26754;28.629;;33,90;28,82;26,21;30,86;28,63
115rat575_v3_p1;506;28.297;505;32.424;508;33.748;506;26.369;508;28.405;;28,30;32,42;33,75;26,37;28,41
115rat575_v3_p2;25607;30.153;25428;29.249;25433;30.292;25433;25.333;25340;31.486;;30,15;29,25;30,29;25,33;31,49
115rat575_v4_p1;537;19.912;538;30.834;536;21.209;534;32.233;538;19.202;;19,91;30,83;21,21;32,23;19,20
115rat575_v4_p2;26955;19.571;26911;33.104;26990;28,74;27009;41.367;27020;22.585;;19,57;33,10;28,74;41,37;22,59
115u574_v2_p1;557;16.725;558;20.168;559;17.136;556;20,86;558;19.093;;16,73;20,17;17,14;20,86;19,09
115u574_v2_p2;28052;16.792;28122;20.374;28138;22.373;28244;23.058;28007;19.825;;16,79;20,37;22,37;23,06;19,83
115u574_v3_p1;556;25.574;557;27,31;557;27.005;557;25.988;557;18.379;;25,57;27,31;27,01;25,99;18,38
115u574_v3_p2;28132;20.696;28132;16.358;27918;21.563;28109;24.859;28024;22.457;;20,70;16,36;21,56;24,86;22,46
115u574_v4_p1;571;12,66;571;12.014;571;13.232;571;13.402;571;13.575;;12,66;12,01;13,23;13,40;13,58
115u574_v4_p2;28888;14.404;28888;16.171;28888;15.283;28888;12.757;28888;14.313;;14,40;16,17;15,28;12,76;14,31
11berlin52_v2_p1;47;0,031;47;0,03;47;0,03;47;0,03;47;0,03;;0,03;0,03;0,03;0,03;0,03
11berlin52_v2_p2;2384;0,031;2384;0,03;2384;0,03;2384;0,031;2384;0,031;;0,03;0,03;0,03;0,03;0,03
11berlin52_v3_p1;44;0,039;44;0,038;44;0,038;44;0,038;44;0,038;;0,04;0,04;0,04;0,04;0,04
11berlin52_v3_p2;2240;0,039;2240;0,039;2240;0,039;2240;0,039;2240;0,038;;0,04;0,04;0,04;0,04;0,04
11berlin52_v4_p1;46;0,048;46;0,048;46;0,049;46;0,049;46;0,047;;0,05;0,05;0,05;0,05;0,05
11berlin52_v4_p2;2384;0,05;2384;0,049;2384;0,05;2384;0,05;2384;0,05;;0,05;0,05;0,05;0,05;0,05
11eil51_v2_p1;43;0,032;43;0,032;43;0,032;43;0,032;43;0,032;;0,03;0,03;0,03;0,03;0,03
11eil51_v2_p2;2069;0,033;2069;0,032;2069;0,032;2069;0,032;2069;0,032;;0,03;0,03;0,03;0,03;0,03
11eil51_v3_p1;45;0,041;45;0,041;45;0,041;45;0,041;45;0,041;;0,04;0,04;0,04;0,04;0,04
11eil51_v3_p2;2218;0,043;2218;0,042;2218;0,042;2218;0,041;2218;0,04;;0,04;0,04;0,04;0,04;0,04
11eil51_v4_p1;45;0,049;45;0,048;45;0,049;45;0,048;45;0,048;;0,05;0,05;0,05;0,05;0,05
11eil51_v4_p2;2218;0,05;2218;0,05;2218;0,049;2218;0,05;2218;0,05;;0,05;0,05;0,05;0,05;0,05
131p654_v2_p1;590;22,66;591;24.015;591;27.463;591;23.566;591;24.882;;22,66;24,02;27,46;23,57;24,88
131p654_v2_p2;29882;34.277;29859;33.376;29875;28.585;29882;31.158;29748;34.946;;34,28;33,38;28,59;31,16;34,95
131p654_v3_p1;507;27.438;507;24.045;507;27.239;506;24.392;507;28.248;;27,44;24,05;27,24;24,39;28,25
131p654_v3_p2;25658;43.989;25658;40.469;25658;46.458;25658;44,44;25666;46.688;;43,99;40,47;46,46;44,44;46,69
131p654_v4_p1;516;26.329;516;28.003;516;26.661;516;30,72;516;27.418;;26,33;28,00;26,66;30,72;27,42
131p654_v4_p2;26072;30.521;26072;30.551;26072;26.062;26072;30.858;26072;26.748;;30,52;30,55;26,06;30,86;26,75
132d657_v2_p1;602;40.963;599;34.208;596;32.127;596;39.694;598;29,88;;40,96;34,21;32,13;39,69;29,88
132d657_v2_p2;30452;43.991;30563;51.575;30653;53.778;30508;35.824;30533;50.826;;43,99;51,58;53,78;35,82;50,83
132d657_v3_p1;570;26.671;568;31.279;569;40.838;570;35.693;568;27.097;;26,67;31,28;40,84;35,69;27,10
132d657_v3_p2;28946;36.214;28884;35.351;28854;43.562;28987;43.638;29166;36.964;;36,21;35,35;43,56;43,64;36,96
132d657_v4_p1;613;34.711;615;34,46;614;28.513;616;37.559;614;29,01;;34,71;34,46;28,51;37,56;29,01
132d657_v4_p2;31307;32.647;31414;31.269;31150;35.519;31395;42.845;31431;37.426;;32,65;31,27;35,52;42,85;37,43
145u724_v2_p1;689;32.982;689;38.087;689;36.915;692;31.823;693;45.616;;32,98;38,09;36,92;31,82;45,62
145u724_v2_p2;34997;46.901;35027;49.078;35198;37.426;35002;48.936;34920;43.695;;46,90;49,08;37,43;48,94;43,70
145u724_v3_p1;710;63.769;708;49.584;707;60.966;709;56.886;708;49.461;;63,77;49,58;60,97;56,89;49,46
145u724_v3_p2;35501;49.893;35772;70.429;35698;57.175;35805;53.885;35753;68.523;;49,89;70,43;57,18;53,89;68,52
145u724_v4_p1;723;25.088;723;25.177;723;25.974;723;24.792;723;27,07;;25,09;25,18;25,97;24,79;27,07
145u724_v4_p2;36532;25.285;36532;24.455;36532;24.794;36532;24,89;36532;30.869;;25,29;24,46;24,79;24,89;30,87
14st70_v2_p1;56;0,058;56;0,058;56;0,058;56;0,057;56;0,057;;0,06;0,06;0,06;0,06;0,06
14st70_v2_p2;2875;0,059;2875;0,057;2875;0,058;2875;0,058;2875;0,057;;0,06;0,06;0,06;0,06;0,06
14st70_v3_p1;49;0,075;49;0,075;49;0,075;49;0,073;49;0,073;;0,08;0,08;0,08;0,07;0,07
14st70_v3_p2;2499;0,076;2499;0,075;2499;0,076;2499;0,076;2499;0,076;;0,08;0,08;0,08;0,08;0,08
14st70_v4_p1;50;0,091;50;0,092;50;0,092;50;0,093;50;0,093;;0,09;0,09;0,09;0,09;0,09
14st70_v4_p2;2524;0,093;2524;0,092;2524;0,091;2524;0,092;2524;0,091;;0,09;0,09;0,09;0,09;0,09
157rat783_v2_p1;734;63.653;732;44.072;735;65.402;732;51.229;736;61.077;;63,65;44,07;65,40;51,23;61,08
157rat783_v2_p2;37446;63.573;37126;71.506;37352;66.528;37534;79.012;37601;88.402;;63,57;71,51;66,53;79,01;88,40
157rat783_v3_p1;737;72.521;734;81.587;743;81.941;738;58.891;740;70.126;;72,52;81,59;81,94;58,89;70,13
157rat783_v3_p2;37716;89.324;37666;65.377;37638;68.517;37598;57.227;37441;72.087;;89,32;65,38;68,52;57,23;72,09
157rat783_v4_p1;781;48.048;782;42.504;780;46.937;782;52.264;782;62.232;;48,05;42,50;46,94;52,26;62,23
157rat783_v4_p2;39430;40.231;39517;49.833;39517;44.566;39517;50.927;39517;63.143;;40,23;49,83;44,57;50,93;63,14
16eil76_v2_p1;64;0,09;64;0,091;64;0,095;64;0,082;64;0,092;;0,09;0,09;0,10;0,08;0,09
16eil76_v2_p2;3363;0,097;3363;0,088;3363;0,091;3363;0,087;3363;0,097;;0,10;0,09;0,09;0,09;0,10
16eil76_v3_p1;60;0,091;60;0,093;60;0,087;60;0,086;60;0,089;;0,09;0,09;0,09;0,09;0,09
16eil76_v3_p2;3137;0,101;3137;0,093;3137;0,09;3137;0,098;3137;0,093;;0,10;0,09;0,09;0,10;0,09
16eil76_v4_p1;65;0,106;65;0,107;65;0,103;65;0,103;65;0,103;;0,11;0,11;0,10;0,10;0,10
16eil76_v4_p2;3411;0,106;3411;0,106;3411;0,103;3411;0,106;3411;0,105;;0,11;0,11;0,10;0,11;0,11
16pr76_v2_p1;68;0,072;68;0,073;68;0,073;68;0,07;68;0,072;;0,07;0,07;0,07;0,07;0,07
16pr76_v2_p2;3442;0,083;3442;0,074;3442;0,078;3442;0,081;3442;0,081;;0,08;0,07;0,08;0,08;0,08
16pr76_v3_p1;63;0,093;63;0,092;63;0,09;63;0,091;63;0,089;;0,09;0,09;0,09;0,09;0,09
16pr76_v3_p2;3250;0,089;3250;0,089;3250;0,086;3250;0,087;3250;0,086;;0,09;0,09;0,09;0,09;0,09
16pr76_v4_p1;66;0,114;66;0,108;66;0,107;66;0,107;66;0,109;;0,11;0,11;0,11;0,11;0,11
16pr76_v4_p2;3378;0,111;3378;0,115;3378;0,115;3378;0,116;3378;0,114;;0,11;0,12;0,12;0,12;0,11
201pr1002_v2_p1;973;108.899;973;80.589;970;97.605;975;99.448;968;121.346;;108,90;80,59;97,61;99,45;121,35
201pr1002_v2_p2;49159;92.459;49285;117,5;49185;118.275;49274;125.252;49023;135.553;;92,46;117,50;118,28;125,25;135,55
201pr1002_v3_p1;996;118.925;995;86.031;995;81.529;994;106.263;992;89.348;;118,93;86,03;81,53;106,26;89,35
201pr1002_v3_p2;50183;91.247;50381;128.564;50349;99.503;50313;72.844;50415;138.017;;91,25;128,56;99,50;72,84;138,02
201pr1002_v4_p1;1001;53.852;1001;54,81;1001;54.365;1001;53.755;1001;54.986;;53,85;54,81;54,37;53,76;54,99
201pr1002_v4_p2;50583;54.314;50583;55.287;50583;55.772;50583;54,46;50583;55.542;;54,31;55,29;55,77;54,46;55,54
20kroA100_v2_p1;83;0,161;83;0,138;83;0,217;83;0,168;83;0,22;;0,16;0,14;0,22;0,17;0,22
20kroA100_v2_p2;4256;0,214;4256;0,208;4256;0,176;4256;0,214;4256;0,217;;0,21;0,21;0,18;0,21;0,22
20kroA100_v3_p1;80;0,187;80;0,197;80;0,192;80;0,19;80;0,209;;0,19;0,20;0,19;0,19;0,21
20kroA100_v3_p2;4116;0,217;4116;0,224;4116;0,167;4116;0,179;4116;0,254;;0,22;0,22;0,17;0,18;0,25
20kroA100_v4_p1;83;0,198;83;0,187;83;0,189;83;0,187;83;0,189;;0,20;0,19;0,19;0,19;0,19
20kroA100_v4_p2;4256;0,192;4256;0,188;4256;0,194;4256;0,194;4256;0,193;;0,19;0,19;0,19;0,19;0,19
20kroB100_v2_p1;80;0,145;80;0,141;80;0,138;80;0,137;80;0,137;;0,15;0,14;0,14;0,14;0,14
20kroB100_v2_p2;3738;0,147;3738;0,139;3738;0,146;3738;0,145;3738;0,14;;0,15;0,14;0,15;0,15;0,14
20kroB100_v3_p1;72;0,214;72;0,218;72;0,177;72;0,194;72;0,174;;0,21;0,22;0,18;0,19;0,17
20kroB100_v3_p2;3411;0,168;3411;0,179;3366;0,165;3411;0,215;3411;0,178;;0,17;0,18;0,17;0,22;0,18
20kroB100_v4_p1;74;0,189;74;0,188;74;0,185;74;0,182;74;0,186;;0,19;0,19;0,19;0,18;0,19
20kroB100_v4_p2;3482;0,187;3482;0,189;3482;0,188;3482;0,185;3482;0,184;;0,19;0,19;0,19;0,19;0,18
20kroC100_v2_p1;75;0,15;75;0,147;75;0,146;75;0,142;75;0,141;;0,15;0,15;0,15;0,14;0,14
20kroC100_v2_p2;3755;0,165;3755;0,151;3755;0,157;3755;0,163;3755;0,156;;0,17;0,15;0,16;0,16;0,16
20kroC100_v3_p1;71;0,172;71;0,168;71;0,17;71;0,167;71;0,17;;0,17;0,17;0,17;0,17;0,17
20kroC100_v3_p2;3565;0,172;3565;0,175;3565;0,167;3565;0,164;3565;0,166;;0,17;0,18;0,17;0,16;0,17
20kroC100_v4_p1;71;0,19;71;0,193;71;0,191;71;0,19;71;0,191;;0,19;0,19;0,19;0,19;0,19
20kroC100_v4_p2;3565;0,198;3565;0,19;3565;0,194;3565;0,194;3565;0,19;;0,20;0,19;0,19;0,19;0,19
20kroD100_v2_p1;75;0,156;75;0,159;75;0,159;75;0,142;75;0,147;;0,16;0,16;0,16;0,14;0,15
20kroD100_v2_p2;3568;0,155;3568;0,155;3568;0,147;3568;0,147;3568;0,164;;0,16;0,16;0,15;0,15;0,16
20kroD100_v3_p1;64;0,174;64;0,177;64;0,182;64;0,181;64;0,174;;0,17;0,18;0,18;0,18;0,17
20kroD100_v3_p2;3193;0,206;3133;0,175;3133;0,179;3133;0,175;3133;0,174;;0,21;0,18;0,18;0,18;0,17
20kroD100_v4_p1;67;0,202;67;0,195;67;0,199;67;0,197;67;0,2;;0,20;0,20;0,20;0,20;0,20
20kroD100_v4_p2;3379;0,203;3379;0,197;3379;0,202;3379;0,199;3379;0,196;;0,20;0,20;0,20;0,20;0,20
20kroE100_v2_p1;66;0,136;66;0,135;66;0,134;66;0,132;66;0,134;;0,14;0,14;0,13;0,13;0,13
20kroE100_v2_p2;3089;0,142;3089;0,139;3089;0,14;3089;0,14;3089;0,139;;0,14;0,14;0,14;0,14;0,14
20kroE100_v3_p1;63;0,158;63;0,153;63;0,155;63;0,154;63;0,154;;0,16;0,15;0,16;0,15;0,15
20kroE100_v3_p2;2945;0,16;2945;0,157;2945;0,162;2945;0,156;2945;0,158;;0,16;0,16;0,16;0,16;0,16
20kroE100_v4_p1;66;0,196;66;0,191;66;0,196;66;0,19;66;0,191;;0,20;0,19;0,20;0,19;0,19
20kroE100_v4_p2;3089;0,186;3089;0,181;3089;0,18;3089;0,182;3089;0,181;;0,19;0,18;0,18;0,18;0,18
20rat99_v2_p1;53;0,133;53;0,129;53;0,134;53;0,131;53;0,137;;0,13;0,13;0,13;0,13;0,14
20rat99_v2_p2;2776;0,137;2776;0,139;2776;0,139;2776;0,138;2776;0,134;;0,14;0,14;0,14;0,14;0,13
20rat99_v3_p1;49;0,153;49;0,154;49;0,151;49;0,149;49;0,149;;0,15;0,15;0,15;0,15;0,15
20rat99_v3_p2;2508;0,165;2508;0,162;2508;0,161;2508;0,156;2508;0,157;;0,17;0,16;0,16;0,16;0,16
20rat99_v4_p1;49;0,176;49;0,176;49;0,174;49;0,174;49;0,177;;0,18;0,18;0,17;0,17;0,18
20rat99_v4_p2;2508;0,184;2508;0,177;2508;0,177;2508;0,18;2508;0,179;;0,18;0,18;0,18;0,18;0,18
20rd100_v2_p1;81;0,134;81;0,132;81;0,135;81;0,134;81;0,135;;0,13;0,13;0,14;0,13;0,14
20rd100_v2_p2;4053;0,143;4060;0,147;4053;0,141;4053;0,139;4053;0,142;;0,14;0,15;0,14;0,14;0,14
20rd100_v3_p1;67;0,176;67;0,162;67;0,161;67;0,169;67;0,167;;0,18;0,16;0,16;0,17;0,17
20rd100_v3_p2;3467;0,174;3467;0,173;3467;0,166;3467;0,165;3467;0,18;;0,17;0,17;0,17;0,17;0,18
20rd100_v4_p1;67;0,185;67;0,186;67;0,185;67;0,184;67;0,185;;0,19;0,19;0,19;0,18;0,19
20rd100_v4_p2;3467;0,194;3467;0,193;3467;0,195;3467;0,19;3467;0,194;;0,19;0,19;0,20;0,19;0,19
212u1060_v2_p1;1054;79.616;1053;99.163;1052;86.176;1053;92.982;1053;82.239;;79,62;99,16;86,18;92,98;82,24
212u1060_v2_p2;53322;122.591;53344;94,35;53306;149.681;53331;144.387;53360;126.608;;122,59;94,35;149,68;144,39;126,61
212u1060_v3_p1;1058;84.544;1058;86.619;1058;89.819;1057;68,82;1058;76,85;;84,54;86,62;89,82;68,82;76,85
212u1060_v3_p2;53482;117.239;53468;138.552;53468;85.823;53482;101.608;53468;99.266;;117,24;138,55;85,82;101,61;99,27
212u1060_v4_p1;1059;64.495;1059;65.037;1059;65.327;1059;65.862;1059;66.438;;64,50;65,04;65,33;65,86;66,44
212u1060_v4_p2;53548;63.923;53548;65.629;53548;65.413;53548;65.335;53548;64.605;;63,92;65,63;65,41;65,34;64,61
217vm1084_v2_p1;1067;120.491;1068;105.201;1071;114.672;1066;83,13;1066;108.504;;120,49;105,20;114,67;83,13;108,50
217vm1084_v2_p2;54208;109.259;54099;163.498;54100;148.364;54298;147.468;54187;110.734;;109,26;163,50;148,36;147,47;110,73
217vm1084_v3_p1;1083;83.123;1083;92.981;1083;88.971;1083;76.771;1083;78.178;;83,12;92,98;88,97;76,77;78,18
217vm1084_v3_p2;54712;77.858;54712;85.956;54712;92,13;54712;84.903;54712;96.273;;77,86;85,96;92,13;84,90;96,27
217vm1084_v4_p1;1083;66.106;1083;65.537;1083;65.583;1083;66.453;1083;65.669;;66,11;65,54;65,58;66,45;65,67
217vm1084_v4_p2;54712;67.681;54712;67.294;54712;67.423;54712;67.265;54712;67,61;;67,68;67,29;67,42;67,27;67,61
21eil101_v2_p1;93;0,155;93;0,159;93;0,156;93;0,129;93;0,132;;0,16;0,16;0,16;0,13;0,13
21eil101_v2_p2;4714;0,185;4714;0,178;4714;0,173;4714;0,223;4714;0,22;;0,19;0,18;0,17;0,22;0,22
21eil101_v3_p1;90;0,153;91;0,175;91;0,171;90;0,153;91;0,173;;0,15;0,18;0,17;0,15;0,17
