dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10;max;gap_1;gap_2;gap_3;gap_4;gap_5;gap_6;gap_7;gap_8;gap_9;gap_10;avg_gap;norm_avg_gap;is_best_1;is_best_2;is_best_3;is_best_4;is_best_5;is_best_6;is_best_7;is_best_8;is_best_9;is_best_10;sum_is_best
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\115rat575_v4_p1.msop;395;390;394;392;394;391;393;394;393;395;395;0;0,012658228;0,002531646;0,007594937;0,002531646;0,010126582;0,005063291;0,002531646;0,005063291;0;0,004810127;0,380000028;1;0;0;0;0;0;0;0;0;1;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\115rat575_v4_p2.msop;19588;19692;19899;19773;19612;19600;19585;19710;19773;19775;19899;0,015628926;0,010402533;0;0,006331976;0,014422835;0,015025881;0,015779687;0,009497965;0,006331976;0,006231469;0,009965325;0,631528686;0;0;1;0;0;0;0;0;0;0;1
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\115u574_v4_p1.msop;424;426;422;420;421;427;427;425;426;423;427;0,007025761;0,00234192;0,011709602;0,016393443;0,014051522;0;0;0,004683841;0,00234192;0,009367681;0,006791569;0,414285699;0;0;0;0;0;1;1;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\115u574_v4_p2.msop;21592;21858;21616;21650;21484;21636;21858;21656;21526;21799;21858;0,012169457;0;0,011071461;0,009515967;0,01711044;0,010156464;0;0,009241468;0,015188947;0,002699241;0,008715344;0,509358263;0;1;0;0;0;0;1;0;0;0;2
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\11berlin52_v4_p1.msop;40;40;40;40;40;40;40;40;40;40;40;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\11berlin52_v4_p2.msop;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\11eil51_v4_p1.msop;32;32;32;32;32;32;32;32;32;32;32;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\11eil51_v4_p2.msop;1624;1624;1624;1624;1624;1624;1624;1624;1624;1624;1624;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\131p654_v4_p1.msop;352;352;352;352;352;352;352;352;352;352;352;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_120_v_4\131p654_v4_p2.msop;17825;17825;17825;17825;17825;17825;17825;17825;17825;17825;17825;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;10
