dataset_name;solution_1;solution_2;solution_3;solution_4;solution_5;solution_6;solution_7;solution_8;solution_9;solution_10
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\115rat575_v4_p1.msop;568;566;570;572;571;568;571;572;569;570
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\115rat575_v4_p2.msop;28753;28738;28753;29033;28719;28689;28699;28708;28865;28650
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\115u574_v4_p1.msop;573;573;573;573;573;573;573;573;573;573
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\115u574_v4_p2.msop;28957;28957;28957;28957;28957;28957;28957;28957;28957;28957
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\11berlin52_v4_p1.msop;48;48;48;48;48;48;48;48;48;48
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\11berlin52_v4_p2.msop;2466;2466;2466;2466;2466;2466;2466;2466;2466;2466
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\11eil51_v4_p1.msop;45;45;45;45;45;45;45;45;45;45
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\11eil51_v4_p2.msop;2218;2218;2218;2218;2218;2218;2218;2218;2218;2218
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\131p654_v4_p1.msop;649;649;649;649;650;648;648;649;648;649
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\131p654_v4_p2.msop;32882;32852;32862;32864;32876;32846;32852;32866;32852;32852
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\132d657_v4_p1.msop;653;652;653;651;648;652;653;654;655;654
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\132d657_v4_p2.msop;33029;32831;32989;33046;33084;32782;33078;32965;32982;33046
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\145u724_v4_p1.msop;723;723;723;723;723;723;723;723;723;723
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\145u724_v4_p2.msop;36532;36532;36532;36532;36532;36532;36532;36532;36532;36532
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\14st70_v4_p1.msop;57;57;57;57;57;57;57;57;57;57
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\14st70_v4_p2.msop;2900;2900;2900;2900;2900;2900;2900;2900;2900;2900
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\157rat783_v4_p1.msop;782;782;782;782;782;782;782;782;782;782
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\157rat783_v4_p2.msop;39517;39517;39517;39517;39517;39517;39517;39517;39517;39517
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\16eil76_v4_p1.msop;69;69;69;69;69;69;69;69;69;69
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\16eil76_v4_p2.msop;3607;3607;3607;3607;3607;3607;3607;3607;3607;3607
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\16pr76_v4_p1.msop;71;71;71;71;71;71;71;71;71;71
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\16pr76_v4_p2.msop;3570;3570;3570;3570;3570;3570;3570;3570;3570;3570
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\201pr1002_v4_p1.msop;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\201pr1002_v4_p2.msop;50583;50583;50583;50583;50583;50583;50583;50583;50583;50583
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroA100_v4_p1.msop;86;86;86;86;86;86;86;86;86;86
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroA100_v4_p2.msop;4424;4424;4424;4424;4424;4424;4424;4424;4424;4424
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroB100_v4_p1.msop;80;80;80;80;80;80;80;80;80;80
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroB100_v4_p2.msop;3738;3738;3738;3738;3738;3738;3738;3738;3738;3738
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroC100_v4_p1.msop;81;81;81;81;81;81;83;81;81;81
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroC100_v4_p2.msop;4144;4144;4144;4144;4144;4144;4144;4144;4144;4144
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroD100_v4_p1.msop;80;80;80;80;80;80;80;80;80;80
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroD100_v4_p2.msop;3898;3898;3898;3898;3898;3898;3898;3898;3898;3898
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroE100_v4_p1.msop;67;67;67;67;67;67;67;67;67;67
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20kroE100_v4_p2.msop;3159;3159;3159;3159;3159;3159;3159;3159;3159;3159
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20rat99_v4_p1.msop;53;53;53;53;53;53;53;53;53;53
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20rat99_v4_p2.msop;2776;2776;2776;2776;2776;2776;2776;2776;2776;2776
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20rd100_v4_p1.msop;89;87;87;87;89;89;87;87;87;87
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\20rd100_v4_p2.msop;4427;4427;4427;4427;4427;4427;4506;4506;4506;4506
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\212u1060_v4_p1.msop;1059;1059;1059;1059;1059;1059;1059;1059;1059;1059
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\212u1060_v4_p2.msop;53548;53548;53548;53548;53548;53548;53548;53548;53548;53548
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\217vm1084_v4_p1.msop;1083;1083;1083;1083;1083;1083;1083;1083;1083;1083
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\217vm1084_v4_p2.msop;54712;54712;54712;54712;54712;54712;54712;54712;54712;54712
C:/Users/georg/Desktop/thesis/MSOP/MSOP/MSOP_datasets/over_100\t_180_v_4\21eil101_v4_p1.msop;99;100;100;99;100;100;100;100;100;100
