dataset_name;1;2;3;4;5;best;gap_1;gap_2;gap_3;gap_4;gap_5
115rat575_v2_p1;531;530;528;522;522;531;0;0,001883239;0,005649718;0,016949153;0,016949153
115rat575_v2_p2;26565;26650;26740;26381;26405;26740;0,006544503;0,003365744;0;0,01342558;0,012528048
115rat575_v3_p1;504;508;502;503;501;508;0,007874016;0;0,011811024;0,00984252;0,013779528
115rat575_v3_p2;25250;25428;25607;25274;25161;25607;0,0139415;0,006990276;0;0,013004257;0,017417113
115rat575_v4_p1;540;538;534;537;534;540;0;0,003703704;0,011111111;0,005555556;0,011111111
115rat575_v4_p2;27132;27081;26909;26998;26813;27132;0;0,001879699;0,008219077;0,004938818;0,011757335
115u574_v2_p1;558;558;556;555;555;558;0;0;0,003584229;0,005376344;0,005376344
115u574_v2_p2;28222;28222;28099;28122;28181;28222;0;0;0,004358302;0,003543335;0,001452767
115u574_v3_p1;559;556;557;554;555;559;0;0,005366726;0,003577818;0,008944544;0,007155635
115u574_v3_p2;27962;28073;28030;28075;27962;28075;0,004024933;7,12378E-05;0,00160285;0;0,004024933
115u574_v4_p1;572;572;571;571;571;572;0;0;0,001748252;0,001748252;0,001748252
115u574_v4_p2;28888;28935;28888;28888;28888;28935;0,00162433;0;0,00162433;0,00162433;0,00162433
11berlin52_v2_p1;47;47;47;47;47;47;0;0;0;0;0
11berlin52_v2_p2;2384;2384;2384;2384;2384;2384;0;0;0;0;0
11berlin52_v3_p1;44;44;44;44;44;44;0;0;0;0;0
11berlin52_v3_p2;2240;2240;2240;2240;2240;2240;0;0;0;0;0
11berlin52_v4_p1;46;46;46;46;46;46;0;0;0;0;0
11berlin52_v4_p2;2384;2384;2384;2384;2384;2384;0;0;0;0;0
11eil51_v2_p1;43;43;43;43;43;43;0;0;0;0;0
11eil51_v2_p2;2069;2069;2069;2069;2069;2069;0;0;0;0;0
11eil51_v3_p1;45;45;45;45;45;45;0;0;0;0;0
11eil51_v3_p2;2218;2218;2218;2218;2218;2218;0;0;0;0;0
11eil51_v4_p1;45;45;45;45;45;45;0;0;0;0;0
11eil51_v4_p2;2218;2218;2218;2218;2218;2218;0;0;0;0;0
131p654_v2_p1;561;591;591;591;591;591;0,050761421;0;0;0;0
131p654_v2_p2;27732;29882;29875;29880;29882;29882;0,071949669;0;0,000234255;6,69299E-05;0
131p654_v3_p1;507;507;506;506;507;507;0;0;0,001972387;0,001972387;0
131p654_v3_p2;25661;25658;25658;25658;25658;25661;0;0,000116909;0,000116909;0,000116909;0,000116909
131p654_v4_p1;516;516;516;516;516;516;0;0;0;0;0
131p654_v4_p2;26072;26072;26072;26072;26072;26072;0;0;0;0;0
132d657_v2_p1;594;599;598;591;591;599;0,008347245;0;0,001669449;0,013355593;0,013355593
132d657_v2_p2;30442;30568;30800;30394;30621;30800;0,011623377;0,007532468;0;0,013181818;0,005811688
132d657_v3_p1;567;570;574;568;569;574;0,012195122;0,006968641;0;0,010452962;0,008710801
132d657_v3_p2;28817;29005;29051;28930;28983;29051;0,0080548;0,001583422;0;0,004165089;0,002340711
132d657_v4_p1;618;616;613;612;615;618;0;0,003236246;0,008090615;0,009708738;0,004854369
132d657_v4_p2;31448;31431;31387;31374;31404;31448;0;0,000540575;0,00193971;0,002353091;0,001399135
145u724_v2_p1;700;691;689;688;681;700;0;0,012857143;0,015714286;0,017142857;0,027142857
145u724_v2_p2;35250;35188;35067;34802;34643;35250;0;0,001758865;0,005191489;0,01270922;0,017219858
145u724_v3_p1;706;710;710;709;700;710;0,005633803;0;0;0,001408451;0,014084507
145u724_v3_p2;35374;35767;35722;35336;34980;35767;0,010987782;0;0,001258143;0,012050214;0,022003523
145u724_v4_p1;723;723;723;723;723;723;0;0;0;0;0
145u724_v4_p2;36532;36532;36532;36532;36532;36532;0;0;0;0;0
14st70_v2_p1;56;56;56;56;56;56;0;0;0;0;0
14st70_v2_p2;2875;2875;2875;2875;2875;2875;0;0;0;0;0
14st70_v3_p1;49;49;49;49;49;49;0;0;0;0;0
14st70_v3_p2;2499;2499;2499;2499;2499;2499;0;0;0;0;0
14st70_v4_p1;50;50;50;50;50;50;0;0;0;0;0
14st70_v4_p2;2524;2524;2524;2524;2524;2524;0;0;0;0;0
157rat783_v2_p1;732;732;726;723;717;732;0;0;0,008196721;0,012295082;0,020491803
157rat783_v2_p2;37380;37530;36974;36686;36976;37530;0,003996803;0;0,014814815;0,022488676;0,014761524
157rat783_v3_p1;744;741;736;732;736;744;0;0,004032258;0,010752688;0,016129032;0,010752688
157rat783_v3_p2;37932;37897;37751;37642;37466;37932;0;0,000922704;0,004771697;0,00764526;0,012285142
157rat783_v4_p1;782;782;782;779;782;782;0;0;0;0,003836317;0
157rat783_v4_p2;39517;39517;39517;39517;39414;39517;0;0;0;0;0,002606473
16eil76_v2_p1;64;64;64;64;64;64;0;0;0;0;0
16eil76_v2_p2;3363;3363;3363;3363;3363;3363;0;0;0;0;0
16eil76_v3_p1;60;60;60;60;60;60;0;0;0;0;0
16eil76_v3_p2;3137;3137;3137;3137;3137;3137;0;0;0;0;0
16eil76_v4_p1;65;65;65;65;65;65;0;0;0;0;0
16eil76_v4_p2;3411;3411;3411;3411;3411;3411;0;0;0;0;0
16pr76_v2_p1;68;68;68;68;68;68;0;0;0;0;0
16pr76_v2_p2;3442;3442;3442;3442;3442;3442;0;0;0;0;0
16pr76_v3_p1;63;63;63;63;63;63;0;0;0;0;0
16pr76_v3_p2;3250;3250;3250;3250;3250;3250;0;0;0;0;0
16pr76_v4_p1;66;66;66;66;66;66;0;0;0;0;0
16pr76_v4_p2;3378;3378;3378;3378;3378;3378;0;0;0;0;0
201pr1002_v2_p1;974;977;967;960;959;977;0,003070624;0;0,010235415;0,017400205;0,018423746
201pr1002_v2_p2;49118;49180;49070;48993;48735;49180;0,001260675;0;0,002236682;0,003802359;0,009048394
201pr1002_v3_p1;995;994;992;989;990;995;0;0,001005025;0,003015075;0,006030151;0,005025126
