1,Bestkey,Best, T2B, Tt, Mstart, Bstart,8,117.89,1.41,3.02,216.43,188.19
10,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,109.16,1.08,3.24,160.98,113.89
2,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,148.52,1.06,3.01,208.38,208.38
3,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,124.78,1.06,3.05,147.17,147.17
4,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,118.17,1.07,3.08,137.62,133.64
5,Bestkey,Best, T2B, Tt, Mstart, Bstart,8,127.14,1.41,3.03,167.2,155.71
6,Bestkey,Best, T2B, Tt, Mstart, Bstart,13,114.52,2.8,3.27,146.75,154.49
7,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,120.95,1.06,3.19,150.04,150.04
8,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,118.98,1.06,3.21,164.84,148.33
9,Bestkey,Best, T2B, Tt, Mstart, Bstart,13,130.91,2.69,3.11,169.99,166.13
11,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,134.88,1.13,4.39,187.73,187.75
12,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,138.23,1.13,4.74,182.07,182.34
13,Bestkey,Best, T2B, Tt, Mstart, Bstart,8,139.15,1.97,4.5,206.18,180.42
14,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,128.13,1.12,4.51,163.73,170.09
15,Bestkey,Best, T2B, Tt, Mstart, Bstart,11,124.42,3.32,4.43,204.23,183.66
16,Bestkey,Best, T2B, Tt, Mstart, Bstart,3,138.87,1.39,4.8,205.52,205.5
17,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,129.04,1.14,4.63,160.36,166.97
18,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,113.0,1.11,4.37,157.72,162.3
19,Bestkey,Best, T2B, Tt, Mstart, Bstart,1,163.01,1.12,4.48,211.75,211.73
20,Bestkey,Best, T2B, Tt, Mstart, Bstart,3,142.15,1.4,4.73,184.0,181.6
